"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number"
"FT","2017-08-10","90.8","-2.8238","6.2005","Giancarlo Stanton",519317,543699,"home_run","hit_into_play_score",,,,,"1","Giancarlo Stanton homers (39) on a fly ball to left field.   Dee Gordon scores.  ","R","R","R","WSH","MIA","X","null","fly_ball",1,1,2017,"-0.7853","1.3388","-0.7935","3.1487","null","null","543829.00",0,3,"Top","51.26","40.01",,,446308,,"170810_234458","6.6856","-131.7859","-4.5304","-10.4216","25.8934","-15.9685","3.5179","1.4886","422","104.1","25.7210","90.4690","2001","6.0530",491812,543699,446308,475582,502517,506703,594694,452252,571718,547180,"54.4445","0.890","1.676","2.00",1,0,3,6,17,"3"
"FF","2017-08-08","93.7","-2.8109","6.0749","Giancarlo Stanton",519317,595918,"home_run","hit_into_play_score",,,,,"4","Giancarlo Stanton homers (38) on a fly ball to left center field.   Miguel Rojas scores.    Dee Gordon scores.  ","R","R","R","WSH","MIA","X","null","fly_ball",0,0,2017,"-0.7669","1.2477","-0.6994","2.3416","500743.00","null","543829.00",1,5,"Top","80.63","18.35",,,"null",,"170809_003639","7.1112","-135.9913","-6.6398","-10.9901","27.7083","-15.5015","3.5174","1.4880","null","103.0","30.0000","null","2218","6.2743",491783,"null","null","null","null","null","null","null","null","null","54.2233","0.783","1.508","2.00",1,0,3,6,38,"1"
"FF","2017-08-07","95.7","-3.3373","5.2024","Giancarlo Stanton",519317,453286,"home_run","hit_into_play_score",,,,,"2","Giancarlo Stanton homers (37) on a fly ball to left center field.  ","R","R","R","WSH","MIA","X","null","fly_ball",3,1,2017,"-0.5176","1.4185","0.1043","3.0173","null","null","null",0,6,"Top","71.30","33.61",,,"null",,"170808_004352","10.2341","-138.7388","-3.3181","-8.9587","30.4065","-13.2475","3.5176","1.4883","null","103.0","30.0000","null","2658","6.4393",491772,"null","null","null","null","null","null","null","null","null","54.0583","0.783","1.508","2.00",1,0,3,6,39,"5"
"FF","2017-08-05","95.8","-1.7589","5.6443","Giancarlo Stanton",519317,592314,"home_run","hit_into_play_score",,,,,"12","Giancarlo Stanton homers (36) on a fly ball to left center field.  ","R","R","R","ATL","MIA","X","null","fly_ball",1,1,2017,"-0.7851","1.0441","0.0669","3.7990","null","null","null",2,6,"Top","56.88","22.22",,,435559,,"170806_002931","6.5915","-139.3658","-1.6947","-11.6109","26.6290","-18.2658","3.5935","1.5646","446","110.6","27.4140","96.5030","2317","6.3700",491743,592314,435559,518692,645277,408252,622666,571431,542255,455976,"54.1311","0.986","1.959","2.00",1,0,3,6,38,"3"
"KN","2017-08-04","79.9","-0.4176","5.5134","Giancarlo Stanton",519317,285079,"home_run","hit_into_play_score",,,,,"13","Giancarlo Stanton homers (35) on a fly ball to left center field.   Adam Conley scores.  ","R","R","R","ATL","MIA","X","null","fly_ball",0,1,2017,"-0.4551","-0.3375","-0.8409","2.0045","null","null","543045.00",1,6,"Top","54.49","33.34",,,452095,,"170805_010348","-0.1062","-115.8872","-0.2784","-3.9083","24.6172","-35.3288","3.5933","1.5644","424","107.3","32.9070","77.9680","null","5.4110",491728,285079,452095,518692,645277,408252,622666,446481,542255,455976,"55.0906","0.895","1.770","2.00",1,0,3,6,39,"2"
"KN","2017-08-04","78.3","-0.4055","5.6074","Giancarlo Stanton",519317,285079,"home_run","hit_into_play_score",,,,,"5","Giancarlo Stanton homers (34) on a fly ball to center field.  ","R","R","R","ATL","MIA","X","null","fly_ball",0,0,2017,"-0.4077","-0.6351","-0.0706","2.2479","null","null","null",0,4,"Top","126.81","26.93",,,452095,,"170805_002558","1.4238","-113.9187","0.6108","-3.7051","17.8704","-37.9142","3.5933","1.5644","477","115.5","24.7530","77.6190","null","5.4890",491728,285079,452095,518692,645277,408252,622666,446481,542255,455976,"55.0122","0.994","1.985","2.00",1,0,3,6,23,"1"
"FF","2017-07-26","91.7","-2.9291","6.2647","Giancarlo Stanton",519317,276351,"home_run","hit_into_play_score",,,,,"11","Giancarlo Stanton homers (33) on a fly ball to left center field.  ","R","R","R","TEX","MIA","X","null","fly_ball",2,0,2017,"-0.8551","1.4151","-0.2914","3.9606","null","null","null",0,8,"Top","62.90","9.41",,,518960,,"170727_030132","8.4999","-132.9298","-2.9403","-12.0567","30.4430","-14.9946","3.5960","1.5667","468","112.0","27.3940","91.3260","2421","6.4180",491613,276351,518960,435063,596059,134181,462101,608336,460576,608577,"54.0784","0.989","1.966","2.00",1,0,3,6,70,"3"
"FT","2017-07-24","96.0","-0.8852","5.9052","Giancarlo Stanton",519317,502026,"home_run","hit_into_play_score",,,,,"4","Giancarlo Stanton homers (32) on a fly ball to right field.  ","R","R","R","TEX","MIA","X","null","fly_ball",2,1,2017,"-1.4639","0.3113","-0.5697","2.5405","null","null","null",0,8,"Top","207.02","58.23",,,518960,,"170725_020241","4.2087","-139.5721","-4.0435","-20.3339","31.5271","-27.3346","3.5972","1.5679","384","105.7","25.5130","96.6880","1979","6.7300",491584,502026,518960,435063,596059,134181,462101,608577,592261,425783,"53.7671","0.948","1.832","2.00",1,0,3,6,55,"4"
"FF","2017-07-24","92.4","2.1958","5.8711","Giancarlo Stanton",519317,527048,"home_run","hit_into_play_score",,,,,"13","Giancarlo Stanton homers (31) on a fly ball to left field.   Dee Gordon scores.  ","R","R","L","TEX","MIA","X","null","fly_ball",1,0,2017,"0.7948","1.4009","-0.8958","2.1137","null","543829.00","null",0,1,"Top","47.68","34.84",,,518960,,"170725_001103","-9.4586","-133.8287","-6.6340","11.4328","28.4329","-14.3867","3.5973","1.5680","429","110.5","24.4770","91.4430","1985","5.9270",491584,527048,518960,435063,596059,134181,462101,608577,592261,425783,"54.5699","0.986","1.911","2.00",1,0,3,6,2,"2"
"CU","2017-07-19","80.3","-3.2066","5.6561","Giancarlo Stanton",519317,601713,"home_run","hit_into_play_score",,,,,"5","Giancarlo Stanton homers (30) on a fly ball to center field.  ","R","R","R","MIA","PHI","X","null","fly_ball",3,1,2017,"1.2961","-0.6118","-0.1545","2.3010","null","null","null",1,1,"Bot","102.19","14.97",,,595284,,"170719_162504","4.3127","-116.6337","0.4604","10.8033","23.4799","-38.0186","3.6243","1.5947","437","112.9","27.7540","79.6800","2832","6.1160",491515,601713,595284,571830,514917,596748,520471,537953,546318,608384,"54.3820","0.986","1.964","2.00",1,0,3,6,9,"5"
