last_name, first_name,player_id,attempts,avg_hit_angle,anglesweetspotpercent,max_hit_speed,avg_hit_speed,fbld,gb,max_distance,avg_distance,avg_hr_distance,ev95plus,ev95percent,barrels,brl_percent,brl_pa
Difo, Wilmer,594694,43,11.4,32.6,102.0,82.7,89.1,79.9,380,152,375,11,25.6,0,0.0,0.0
Parra, Gerardo,467827,50,11.6,32.0,102.0,85.1,88.9,81.9,390,157,390,12,24.0,1,2.0,1.3
Kiner-Falefa, Isiah,643396,25,-1.5,16.0,102.0,80.8,83.6,80.1,281,92,,4,16.0,0,0.0,0.0
Alberto, Hanser,593643,47,10.2,21.3,101.9,80.9,87.2,77.8,376,136,376,9,19.1,1,2.1,1.8
Gordon, Dee,543829,76,11.9,26.3,101.9,83.5,86.8,81.4,367,153,363,15,19.7,0,0.0,0.0
Molina, Yadier,425877,73,11.3,41.1,101.8,88.1,92.7,83.1,400,178,400,25,34.2,2,2.7,2.4
Avila, Alex,488671,10,13.1,50.0,101.6,94.3,97.5,91.2,371,196,367,7,70.0,2,20.0,9.5
Urena, Richard,620446,19,6.9,31.6,101.5,82.0,93.2,77.1,341,128,,5,26.3,0,0.0,0.0
Mejia, Francisco,642336,23,13.9,26.1,101.1,87.6,91.1,85.9,353,147,,6,26.1,0,0.0,0.0
Smith, Dominic,642086,18,11.9,27.8,100.9,86.0,88.3,85.2,333,134,,4,22.2,0,0.0,0.0
Sogard, Eric,519299,19,13.7,42.1,100.6,85.2,90.8,72.7,367,185,,7,36.8,0,0.0,0.0
Joe, Connor,656582,10,1.1,20.0,100.5,81.4,69.4,87.0,261,97,,3,30.0,0,0.0,0.0
Garcia, Greg,594824,12,-5.4,25.0,100.3,84.1,82.8,84.5,242,73,,2,16.7,0,0.0,0.0
Casali, Curt,592200,21,5.8,42.9,99.0,86.4,90.6,81.8,372,173,,6,28.6,1,4.8,3.1
Hanson, Alen,593700,22,2.8,27.3,98.9,76.0,86.4,75.3,292,107,,4,18.2,0,0.0,0.0
Pina, Manny,444489,13,18.8,38.5,98.8,84.8,86.7,82.2,322,185,,2,15.4,0,0.0,0.0
Hamilton, Billy,571740,45,12.6,33.3,98.3,77.7,82.8,74.2,308,133,,3,6.7,0,0.0,0.0
Pedroia, Dustin,456030,18,6.3,27.8,98.2,85.6,87.2,84.6,351,146,,4,22.2,0,0.0,0.0
Kemp, Tony,643393,25,12.9,28.0,98.1,83.9,90.3,76.7,359,166,359,3,12.0,0,0.0,0.0
Fuentes, Josh,658069,10,12.9,30.0,93.1,80.5,83.3,77.6,332,142,,0,0.0,0,0.0,0.0
